case_id,transaction_amount,customer_account_age_days,previous_chargebacks,previous_refunds,customer_order_count,dispute_reason,payment_verified,authentication_verified,delivery_confirmed,otp_verified,tracking_available,shipping_address_match,billing_address_match,device_consistent,transaction_authenticated,customer_identity_verified,evidence_count,evidence_completeness,evidence_consistency,response_time_hours,merchant_response_quality_score,defense_success
CASE200012,33.59,87,0,0,3,FRAUDULENT_TRANSACTION,1,1,1,1,1,0,0,1,0,1,7,76.0,16.7,28.7,62.2,0
CASE200013,52.64,320,0,2,11,PRODUCT_NOT_AS_DESCRIBED,1,1,1,1,1,0,1,1,0,1,8,77.8,58.8,24.3,74.0,1
CASE200014,73.38,1490,0,2,24,TRANSACTION_NOT_RECOGNIZED,1,0,1,0,1,1,0,0,1,1,6,67.1,46.2,20.0,73.0,1
CASE200015,19.42,1082,0,0,24,FRAUDULENT_TRANSACTION,0,1,1,1,1,0,1,1,1,1,8,86.4,66.3,127.7,74.3,0
CASE200016,86.37,739,3,0,11,REFUND_NOT_RECEIVED,1,1,0,1,0,1,0,1,0,1,6,57.8,52.8,41.9,95.1,1
CASE200017,21.28,964,0,2,26,DUPLICATE_TRANSACTION,1,0,1,0,0,1,1,1,1,0,6,58.9,97.4,73.3,67.9,1
CASE200018,84.96,537,0,0,12,REFUND_NOT_RECEIVED,0,1,1,1,1,1,1,1,0,0,7,67.6,75.9,41.7,86.9,1
CASE200019,53.72,1784,0,1,29,PRODUCT_NOT_RECEIVED,1,1,1,1,1,1,1,1,1,1,10,100.0,99.2,23.6,67.2,1
CASE200020,147.69,695,0,2,17,PRODUCT_NOT_RECEIVED,1,1,1,1,1,1,1,1,1,1,10,100.0,100.0,13.7,70.9,1
CASE200021,104.94,1069,0,0,15,PRODUCT_NOT_RECEIVED,1,1,1,0,0,1,1,0,0,1,6,60.4,40.4,39.3,66.4,1
CASE200022,40.39,549,0,0,11,PRODUCT_NOT_RECEIVED,1,0,1,1,1,1,1,0,1,1,8,86.8,81.3,104.2,66.4,1
CASE200023,25.18,996,0,2,20,REFUND_NOT_RECEIVED,1,1,1,1,1,1,0,1,1,1,9,91.3,80.7,55.2,58.0,1
CASE200024,29.93,183,0,1,3,PRODUCT_NOT_AS_DESCRIBED,1,0,1,0,1,1,0,0,0,1,5,41.8,23.4,137.6,63.8,0
CASE200025,30.52,332,0,2,8,FRAUDULENT_TRANSACTION,1,1,1,1,1,1,1,1,1,1,10,98.2,100.0,35.8,88.4,1
CASE200026,18.45,581,2,1,12,PRODUCT_NOT_RECEIVED,1,1,0,0,1,0,1,1,1,0,6,65.7,73.3,36.3,61.3,0
CASE200027,8.98,1962,0,2,17,PRODUCT_NOT_RECEIVED,0,1,0,0,0,1,1,1,1,1,6,67.3,94.3,40.2,52.9,1
CASE200028,17.6,545,2,1,9,FRAUDULENT_TRANSACTION,0,0,1,1,1,1,1,1,1,0,7,72.5,93.8,14.0,73.0,0
CASE200029,42.24,957,0,3,19,DUPLICATE_TRANSACTION,1,0,1,0,1,1,1,1,1,1,8,72.2,95.1,50.9,59.7,1
CASE200030,36.3,680,2,1,13,PRODUCT_NOT_RECEIVED,1,0,1,0,1,1,1,1,1,0,7,65.2,100.0,67.2,38.5,0
CASE200031,27.78,972,1,1,8,DUPLICATE_TRANSACTION,1,1,1,1,0,1,0,1,1,1,8,81.3,90.3,71.2,65.0,0
CASE200032,116.48,2216,2,2,34,DUPLICATE_TRANSACTION,1,1,1,1,1,1,1,1,1,0,9,98.0,99.3,159.1,78.2,0
CASE200033,21.78,327,2,1,7,PRODUCT_NOT_RECEIVED,1,1,1,1,1,1,1,1,1,0,9,93.4,88.0,32.7,86.9,1
CASE200034,46.29,705,3,2,14,REFUND_NOT_RECEIVED,1,0,1,1,1,0,1,1,1,1,8,70.1,82.2,36.9,50.3,1
CASE200035,84.94,1133,0,0,15,PRODUCT_NOT_AS_DESCRIBED,1,0,1,1,0,0,1,0,1,1,6,50.8,62.2,39.6,76.0,1
CASE200036,13.62,1903,0,0,37,REFUND_NOT_RECEIVED,1,1,0,1,0,1,1,1,0,1,7,67.6,65.7,34.8,75.7,1
CASE200037,52.57,49,1,0,2,PRODUCT_NOT_RECEIVED,0,0,0,1,0,1,1,1,1,1,6,64.8,99.2,49.2,49.7,0
CASE200038,72.27,559,0,0,12,REFUND_NOT_RECEIVED,1,1,1,1,1,1,1,1,0,0,8,73.0,72.7,41.3,87.5,1
CASE200039,14.63,1026,2,2,22,DUPLICATE_TRANSACTION,1,0,1,0,0,0,1,0,1,0,4,45.3,50.9,40.8,48.4,0
CASE200040,35.34,895,4,2,15,FRAUDULENT_TRANSACTION,1,0,1,1,1,1,1,0,0,0,6,58.8,47.3,22.9,67.0,1
CASE200041,75.91,367,1,2,13,PRODUCT_NOT_RECEIVED,1,1,1,1,1,1,1,0,1,1,9,86.3,77.7,11.3,74.8,0
CASE200042,30.48,1030,1,1,15,REFUND_NOT_RECEIVED,0,0,1,0,1,0,1,0,0,1,4,38.2,14.7,37.4,64.1,0
CASE200043,50.67,839,1,1,15,REFUND_NOT_RECEIVED,0,1,1,0,1,0,1,1,1,0,6,56.2,73.4,85.9,67.5,0
CASE200044,95.89,810,1,0,18,FRAUDULENT_TRANSACTION,1,0,0,1,1,1,1,0,0,1,6,67.5,57.7,61.0,80.5,0
CASE200045,57.29,166,0,3,5,DUPLICATE_TRANSACTION,0,1,1,1,1,1,1,0,1,0,7,77.2,75.7,35.4,55.3,1
CASE200046,50.38,157,0,1,3,FRAUDULENT_TRANSACTION,1,1,1,1,0,1,1,1,1,1,9,100.0,100.0,66.2,94.6,1
CASE200047,28.1,1472,0,3,25,DUPLICATE_TRANSACTION,1,1,1,1,0,1,1,1,1,1,9,100.0,100.0,55.5,74.3,1
CASE200048,130.65,928,1,2,15,FRAUDULENT_TRANSACTION,0,1,1,1,0,1,0,1,1,1,7,72.4,72.4,13.7,55.1,0
CASE200049,37.59,155,0,0,4,PRODUCT_NOT_RECEIVED,1,1,1,0,1,1,0,1,1,1,8,75.2,62.6,44.5,62.8,1
CASE200050,57.94,1222,0,2,25,PRODUCT_NOT_RECEIVED,1,0,1,1,0,1,1,0,1,0,6,56.3,73.0,23.5,68.3,1
CASE200051,57.61,156,4,1,6,PRODUCT_NOT_RECEIVED,0,1,1,1,0,1,1,1,1,0,7,64.0,97.5,42.2,57.4,0
CASE200052,33.56,759,1,0,18,FRAUDULENT_TRANSACTION,1,1,1,1,1,1,1,1,1,1,10,92.8,100.0,57.8,78.6,0
CASE200053,44.04,285,1,1,4,PRODUCT_NOT_RECEIVED,1,1,1,1,1,0,1,1,1,1,9,92.2,78.8,60.1,62.0,1
CASE200054,52.27,646,0,0,13,DUPLICATE_TRANSACTION,0,0,1,0,0,0,1,1,0,1,4,42.8,37.3,30.1,61.0,0
CASE200055,46.68,118,0,1,1,DUPLICATE_TRANSACTION,1,0,1,1,1,1,1,1,1,0,8,84.5,97.0,41.2,59.4,1
CASE200056,50.75,223,1,1,1,DUPLICATE_TRANSACTION,0,1,1,1,0,1,0,1,1,1,7,72.5,75.1,70.0,57.8,0
CASE200057,50.53,434,0,1,12,PRODUCT_NOT_AS_DESCRIBED,1,1,1,0,0,0,0,0,1,0,4,38.7,31.3,51.9,64.4,0
CASE200058,29.91,87,1,2,5,REFUND_NOT_RECEIVED,0,1,1,1,1,0,1,1,1,1,8,77.3,60.2,26.6,36.7,0
CASE200059,42.83,408,0,0,6,DUPLICATE_TRANSACTION,1,1,1,1,0,1,0,1,1,0,7,71.9,86.6,53.2,61.4,0
CASE200060,30.34,594,2,1,17,TRANSACTION_NOT_RECOGNIZED,1,1,1,1,1,1,0,1,0,1,8,77.4,39.4,99.0,63.6,1
CASE200061,87.6,285,1,1,7,PRODUCT_NOT_RECEIVED,1,1,1,1,1,0,1,1,1,1,9,90.3,62.4,31.2,76.0,1
CASE200062,45.81,682,1,0,10,PRODUCT_NOT_AS_DESCRIBED,0,0,0,1,1,1,0,1,1,0,5,43.2,85.5,46.2,35.7,0
CASE200063,113.02,799,0,5,5,PRODUCT_NOT_RECEIVED,1,0,0,1,0,1,1,1,1,1,7,74.6,100.0,52.8,52.9,1
CASE200064,97.54,2409,1,0,48,PRODUCT_NOT_RECEIVED,1,0,0,0,1,1,1,0,1,1,6,70.3,82.3,45.4,67.9,1
CASE200065,51.36,1103,0,0,15,DUPLICATE_TRANSACTION,1,0,0,1,1,1,1,0,1,1,7,70.7,75.9,16.1,73.7,1
CASE200066,58.87,747,1,0,20,PRODUCT_NOT_RECEIVED,0,1,0,0,1,1,1,1,1,0,6,53.3,100.0,78.8,82.9,0
CASE200067,111.91,282,3,2,7,DUPLICATE_TRANSACTION,1,1,0,0,0,1,1,1,1,1,7,74.2,100.0,62.5,51.7,1
CASE200068,69.19,735,0,1,15,FRAUDULENT_TRANSACTION,1,0,1,0,1,1,0,0,0,1,5,48.4,28.7,29.6,60.2,0
CASE200069,18.94,522,2,0,12,FRAUDULENT_TRANSACTION,1,1,1,0,1,0,1,0,0,0,5,46.9,21.7,29.1,58.5,0
CASE200070,85.45,1494,0,2,20,DUPLICATE_TRANSACTION,0,1,1,1,1,0,1,1,1,0,7,71.2,66.8,69.1,73.5,1
CASE200071,75.62,388,0,3,6,REFUND_NOT_RECEIVED,0,1,1,1,1,1,1,1,1,1,9,94.1,100.0,41.0,60.7,1
CASE200072,20.06,445,0,1,7,REFUND_NOT_RECEIVED,1,1,1,1,0,1,1,1,1,0,8,87.0,85.9,29.8,72.6,1
CASE200073,20.07,1683,1,4,25,TRANSACTION_NOT_RECOGNIZED,1,0,1,1,1,1,1,1,0,1,8,80.0,72.3,33.7,70.7,0
CASE200074,61.81,1238,0,5,23,PRODUCT_NOT_RECEIVED,1,1,1,1,0,1,1,1,1,0,8,75.1,100.0,16.4,89.7,1
CASE200075,36.83,805,2,1,19,PRODUCT_NOT_AS_DESCRIBED,1,0,0,1,1,1,0,1,0,1,6,64.6,38.0,31.2,73.5,1
CASE200076,54.28,1142,1,1,23,REFUND_NOT_RECEIVED,0,1,1,1,1,1,1,0,0,0,6,55.2,58.3,34.4,70.8,1
CASE200077,35.34,681,0,4,13,PRODUCT_NOT_RECEIVED,1,1,0,0,0,1,1,1,1,1,7,73.3,100.0,31.8,63.9,0
CASE200078,61.45,392,0,0,9,PRODUCT_NOT_RECEIVED,1,1,0,0,0,0,1,1,0,1,5,49.0,57.5,52.0,79.0,0
CASE200079,46.22,1313,2,2,20,PRODUCT_NOT_AS_DESCRIBED,1,0,0,0,0,1,1,1,0,0,4,43.0,75.3,19.1,62.7,0
CASE200080,56.66,669,0,1,14,FRAUDULENT_TRANSACTION,0,1,1,1,1,1,1,1,0,1,8,83.3,83.3,65.1,80.5,1
CASE200081,41.82,2072,1,1,30,REFUND_NOT_RECEIVED,1,1,1,0,0,1,1,0,0,0,5,48.3,49.9,17.4,91.6,1
CASE200082,33.74,588,1,2,13,REFUND_NOT_RECEIVED,1,1,1,1,0,1,1,1,0,0,7,66.6,67.4,30.5,76.7,1
CASE200083,72.56,812,1,0,18,PRODUCT_NOT_AS_DESCRIBED,1,0,0,0,1,1,1,0,0,1,5,55.2,45.5,18.9,58.6,0
CASE200084,18.05,424,0,4,9,PRODUCT_NOT_RECEIVED,1,1,0,1,0,1,1,1,0,1,7,71.1,68.7,53.2,83.3,1
CASE200085,40.56,378,1,3,4,PRODUCT_NOT_RECEIVED,1,1,0,0,1,0,1,1,0,0,5,47.1,57.1,78.4,55.7,0
CASE200086,164.26,423,0,1,9,PRODUCT_NOT_AS_DESCRIBED,0,0,1,1,0,1,1,1,0,1,6,55.1,80.8,71.7,68.5,0
CASE200087,49.04,252,0,2,5,FRAUDULENT_TRANSACTION,1,0,1,0,1,0,0,0,1,1,5,59.5,15.0,44.8,58.2,0
CASE200088,46.03,918,0,2,15,TRANSACTION_NOT_RECOGNIZED,1,0,1,1,1,1,0,1,0,1,7,61.1,47.0,25.4,59.6,0
CASE200089,75.07,950,0,0,19,REFUND_NOT_RECEIVED,1,0,0,0,1,1,1,1,1,1,7,70.4,100.0,64.9,71.1,0
CASE200090,38.97,561,1,2,14,FRAUDULENT_TRANSACTION,0,1,0,1,1,0,1,1,1,1,7,73.4,75.9,38.1,66.1,0
CASE200091,59.16,846,0,2,7,PRODUCT_NOT_AS_DESCRIBED,1,1,1,1,1,1,0,1,1,1,9,95.3,78.6,68.1,82.4,1
CASE200092,18.17,487,1,0,8,DUPLICATE_TRANSACTION,1,1,1,1,0,1,0,0,0,0,5,56.8,29.9,32.6,54.1,1
CASE200093,80.55,1000,1,2,14,PRODUCT_NOT_AS_DESCRIBED,0,0,1,1,0,1,1,0,1,1,6,58.1,85.8,72.8,54.3,1
CASE200094,35.57,195,1,1,4,FRAUDULENT_TRANSACTION,1,1,1,1,0,1,0,1,1,1,8,85.7,75.3,56.7,65.4,0
CASE200095,35.23,99,2,2,1,REFUND_NOT_RECEIVED,1,1,1,1,1,1,1,1,1,1,10,92.3,100.0,36.1,83.8,1
CASE200096,46.15,1735,2,0,31,FRAUDULENT_TRANSACTION,1,1,0,0,0,1,1,1,0,0,5,56.2,77.4,119.3,61.7,0
CASE200097,48.62,662,1,0,9,PRODUCT_NOT_RECEIVED,0,0,1,0,1,1,0,0,1,0,4,30.5,48.4,57.3,34.7,0
CASE200098,42.36,715,1,1,15,PRODUCT_NOT_AS_DESCRIBED,1,1,1,1,1,1,1,1,1,1,10,100.0,100.0,24.7,92.2,1
CASE200099,64.32,336,1,0,5,PRODUCT_NOT_AS_DESCRIBED,1,1,1,1,1,0,1,1,1,1,9,91.5,89.3,63.5,58.1,1
CASE200100,31.2,737,1,0,14,PRODUCT_NOT_AS_DESCRIBED,1,0,1,0,1,1,1,0,1,1,7,59.7,69.3,72.2,50.3,0
CASE200101,33.32,189,0,1,2,DUPLICATE_TRANSACTION,0,1,1,1,0,1,1,1,1,1,8,69.5,100.0,46.7,45.4,0
CASE200102,46.87,119,1,1,8,DUPLICATE_TRANSACTION,0,0,1,0,1,1,1,0,1,1,6,63.8,72.0,15.1,65.6,1
CASE200103,17.25,1500,1,1,25,PRODUCT_NOT_RECEIVED,0,1,1,0,1,0,1,0,0,1,5,53.5,24.6,13.7,62.2,0
CASE200104,78.8,256,0,1,2,TRANSACTION_NOT_RECOGNIZED,0,0,1,1,1,0,0,1,0,0,4,40.3,25.1,12.2,70.2,1
CASE200105,25.91,462,1,0,11,PRODUCT_NOT_RECEIVED,0,1,1,1,1,1,1,1,0,1,8,82.2,83.6,45.3,75.7,1
CASE200106,54.63,1149,0,0,22,FRAUDULENT_TRANSACTION,1,0,1,0,1,0,1,1,0,1,6,62.5,30.2,53.1,67.5,1
CASE200107,50.12,641,0,1,19,REFUND_NOT_RECEIVED,1,1,1,1,0,1,1,1,1,1,9,99.4,100.0,29.6,64.1,1
CASE200108,59.92,863,0,2,12,PRODUCT_NOT_RECEIVED,1,0,1,0,1,1,0,1,0,1,6,69.8,55.0,54.6,80.3,1
CASE200109,174.75,538,0,0,13,PRODUCT_NOT_RECEIVED,0,1,1,0,1,0,0,1,0,1,5,54.3,20.4,89.2,61.8,0
CASE200110,30.47,1130,2,3,20,FRAUDULENT_TRANSACTION,1,1,0,1,0,1,1,0,1,0,6,56.6,79.1,33.6,54.5,0
CASE200111,46.31,348,0,2,5,PRODUCT_NOT_RECEIVED,0,0,0,1,1,0,1,0,1,0,4,39.7,32.9,76.8,62.4,0
CASE200112,8.63,1282,0,1,16,TRANSACTION_NOT_RECOGNIZED,1,0,1,1,0,0,1,0,0,0,4,43.8,31.6,120.8,67.8,0
CASE200113,188.62,1157,0,0,16,PRODUCT_NOT_RECEIVED,1,1,1,1,1,1,1,1,1,0,9,90.2,100.0,42.4,70.1,0
CASE200114,111.87,117,0,0,6,PRODUCT_NOT_RECEIVED,0,1,0,1,0,1,0,0,1,0,4,34.6,40.2,13.6,53.5,0
CASE200115,82.18,210,1,0,4,FRAUDULENT_TRANSACTION,1,1,0,1,0,1,0,1,1,1,7,67.8,76.8,27.4,51.5,1
CASE200116,36.28,617,0,1,12,FRAUDULENT_TRANSACTION,1,1,0,0,0,1,1,1,1,1,7,68.7,93.6,47.6,77.0,1
CASE200117,20.45,339,1,2,10,REFUND_NOT_RECEIVED,1,1,1,1,1,1,1,1,1,1,10,100.0,96.2,55.0,73.3,1
CASE200118,71.61,747,2,2,21,PRODUCT_NOT_RECEIVED,1,1,1,0,0,0,0,0,1,1,5,56.6,32.2,57.2,70.8,0
CASE200119,21.5,215,0,2,4,PRODUCT_NOT_RECEIVED,1,0,1,1,1,1,0,0,0,1,6,53.4,21.4,41.4,65.6,0
CASE200120,43.43,568,0,1,15,PRODUCT_NOT_AS_DESCRIBED,1,1,0,1,1,1,1,1,1,0,8,77.1,100.0,75.4,77.2,1
CASE200121,20.53,138,1,1,1,PRODUCT_NOT_RECEIVED,1,0,1,1,1,1,1,1,1,1,9,98.8,90.4,29.1,78.8,1
CASE200122,65.48,1276,0,0,24,FRAUDULENT_TRANSACTION,1,1,1,0,1,1,1,1,1,1,9,92.5,100.0,30.6,92.2,0
CASE200123,117.53,169,1,2,5,PRODUCT_NOT_AS_DESCRIBED,1,0,1,1,1,1,1,0,0,0,6,57.2,47.2,55.9,60.0,0
CASE200124,32.91,1265,1,0,31,PRODUCT_NOT_AS_DESCRIBED,1,0,0,0,1,1,0,1,0,0,4,32.3,42.6,91.5,48.8,0
CASE200125,80.78,311,0,1,5,FRAUDULENT_TRANSACTION,1,1,1,1,1,0,1,0,1,1,8,91.1,44.0,30.6,69.8,0
CASE200126,38.94,939,0,0,20,DUPLICATE_TRANSACTION,1,1,1,0,1,0,1,1,1,1,8,75.8,67.0,41.1,59.3,1
CASE200127,94.81,904,0,2,22,REFUND_NOT_RECEIVED,1,0,0,0,1,0,1,0,0,1,4,43.6,20.2,36.6,59.3,1
CASE200128,47.95,735,1,1,10,PRODUCT_NOT_AS_DESCRIBED,0,1,1,1,1,0,1,1,1,0,7,71.1,72.8,39.9,58.7,1
CASE200129,33.99,427,2,1,6,PRODUCT_NOT_RECEIVED,1,0,1,1,0,1,1,0,1,1,7,66.5,79.6,80.9,85.2,0
CASE200130,21.21,2671,2,2,46,REFUND_NOT_RECEIVED,1,1,1,1,1,1,1,0,1,1,9,86.5,72.8,44.9,82.2,1
CASE200131,41.95,435,1,0,11,PRODUCT_NOT_AS_DESCRIBED,0,1,1,1,0,1,1,1,1,0,7,66.9,92.5,45.1,58.3,1
CASE200132,167.49,1916,1,2,38,PRODUCT_NOT_RECEIVED,1,1,1,0,0,1,1,0,1,1,7,75.8,68.6,38.1,68.2,0
CASE200133,72.01,201,0,5,3,TRANSACTION_NOT_RECOGNIZED,1,1,1,1,1,1,1,1,1,1,10,100.0,100.0,87.9,92.7,0
CASE200134,30.87,535,1,0,12,DUPLICATE_TRANSACTION,1,1,1,1,1,0,1,0,0,1,7,69.4,5.4,44.2,64.5,0
CASE200135,186.41,766,2,2,10,FRAUDULENT_TRANSACTION,1,0,1,1,0,1,1,1,1,1,8,73.8,100.0,22.0,65.1,1
CASE200136,21.33,174,0,0,5,PRODUCT_NOT_RECEIVED,0,0,1,1,1,1,1,0,0,1,6,57.6,59.0,46.1,77.2,0
CASE200137,40.88,189,0,1,4,PRODUCT_NOT_RECEIVED,0,1,1,0,1,1,1,1,1,1,8,78.3,100.0,45.6,72.4,1
CASE200138,78.85,320,1,0,8,FRAUDULENT_TRANSACTION,1,0,0,1,1,1,1,1,1,1,8,81.5,91.7,36.4,54.8,1
CASE200139,51.21,70,0,0,1,PRODUCT_NOT_AS_DESCRIBED,1,0,1,1,1,1,1,0,0,1,7,83.6,42.2,57.0,73.6,0
CASE200140,84.68,527,1,1,7,REFUND_NOT_RECEIVED,0,0,0,1,1,0,0,1,0,0,3,37.2,24.6,15.0,49.0,1
CASE200141,47.87,708,1,1,7,PRODUCT_NOT_AS_DESCRIBED,1,0,1,0,1,1,0,0,1,0,5,40.4,27.8,48.2,75.0,1
CASE200142,41.35,203,0,0,2,PRODUCT_NOT_AS_DESCRIBED,1,1,1,1,1,1,1,1,1,0,9,86.9,95.9,67.7,69.0,1
CASE200143,10.11,832,0,1,15,PRODUCT_NOT_RECEIVED,1,1,0,1,1,1,0,1,0,1,7,63.6,37.8,68.2,55.1,0
CASE200144,69.22,2147,0,1,32,REFUND_NOT_RECEIVED,1,1,1,0,1,1,1,1,1,1,9,95.4,88.3,33.5,73.8,1
CASE200145,35.72,1030,0,1,19,DUPLICATE_TRANSACTION,1,1,1,0,1,0,1,1,1,1,8,83.5,75.5,28.2,77.3,1
CASE200146,58.34,202,0,1,8,FRAUDULENT_TRANSACTION,0,1,0,1,0,1,1,0,0,1,5,53.9,34.9,50.1,68.0,0
CASE200147,33.5,183,2,0,5,PRODUCT_NOT_RECEIVED,1,1,1,1,1,1,0,1,1,0,8,86.2,80.9,19.5,65.9,1
CASE200148,54.58,569,0,2,6,DUPLICATE_TRANSACTION,0,1,1,1,1,1,1,0,0,1,7,72.5,37.5,53.3,52.2,0
CASE200149,56.84,322,0,1,9,TRANSACTION_NOT_RECOGNIZED,1,1,1,1,1,1,1,1,1,0,9,93.9,100.0,61.7,59.4,1
CASE200150,41.29,1706,0,3,26,PRODUCT_NOT_RECEIVED,0,1,1,1,1,1,1,0,1,1,8,83.6,74.8,53.9,73.1,0
CASE200151,40.71,214,2,4,3,TRANSACTION_NOT_RECOGNIZED,1,1,1,1,1,1,1,1,0,0,8,79.6,74.8,21.5,74.7,1
CASE200152,24.15,1572,0,3,27,FRAUDULENT_TRANSACTION,0,1,0,1,1,1,0,0,0,1,5,56.7,32.7,38.6,52.0,1
CASE200153,66.67,209,1,1,4,FRAUDULENT_TRANSACTION,1,1,1,1,1,1,1,1,1,1,10,95.3,95.5,46.8,53.4,0
CASE200154,21.66,424,0,2,7,PRODUCT_NOT_RECEIVED,1,0,1,1,0,1,1,1,0,0,6,62.9,59.0,17.5,87.0,1
CASE200155,72.14,492,2,0,4,DUPLICATE_TRANSACTION,1,1,1,1,1,1,1,1,1,1,10,100.0,100.0,63.6,58.6,1
CASE200156,70.97,295,0,0,8,PRODUCT_NOT_RECEIVED,1,0,0,1,1,1,1,1,0,1,7,59.6,70.7,29.5,51.5,0
CASE200157,45.13,367,2,1,9,PRODUCT_NOT_RECEIVED,1,1,1,1,0,1,1,1,0,1,8,73.7,100.0,44.8,56.9,1
CASE200158,45.24,221,1,0,9,FRAUDULENT_TRANSACTION,1,0,1,0,0,0,0,0,0,0,2,20.4,1.6,60.3,53.0,0
CASE200159,235.95,528,1,2,11,FRAUDULENT_TRANSACTION,1,1,1,0,1,1,0,0,0,0,5,51.8,16.0,65.0,58.7,0
CASE200160,35.34,277,1,1,8,FRAUDULENT_TRANSACTION,1,1,1,1,0,1,1,1,0,0,7,70.7,64.5,35.5,67.3,0
CASE200161,30.52,490,0,1,7,PRODUCT_NOT_AS_DESCRIBED,1,1,0,0,1,0,1,0,1,1,6,60.8,56.0,50.2,65.9,1
CASE200162,64.9,399,0,0,6,PRODUCT_NOT_AS_DESCRIBED,0,1,1,1,1,1,0,1,0,1,7,72.7,48.5,50.9,61.5,1
CASE200163,35.02,419,0,2,11,PRODUCT_NOT_RECEIVED,1,1,1,0,1,1,1,1,1,1,9,100.0,98.0,87.8,64.8,0
CASE200164,51.08,124,3,2,1,PRODUCT_NOT_RECEIVED,0,0,1,1,1,0,1,1,0,0,5,46.9,47.1,35.5,42.7,0
CASE200165,31.81,457,2,1,3,PRODUCT_NOT_RECEIVED,0,1,1,0,1,1,1,1,0,1,7,74.6,70.2,44.9,78.0,1
CASE200166,78.55,91,2,0,3,PRODUCT_NOT_RECEIVED,0,0,1,1,1,1,1,1,0,0,6,58.7,88.3,21.4,71.3,0
CASE200167,22.3,330,1,1,7,PRODUCT_NOT_RECEIVED,0,1,1,1,1,1,1,1,1,1,9,83.9,100.0,39.8,75.0,1
CASE200168,15.41,658,1,2,18,PRODUCT_NOT_AS_DESCRIBED,0,1,0,1,1,1,0,1,1,1,7,73.1,67.5,20.3,59.3,0
CASE200169,38.48,1687,0,1,35,PRODUCT_NOT_AS_DESCRIBED,1,1,1,1,1,1,1,1,1,0,9,94.8,99.5,21.0,88.6,0
CASE200170,74.36,893,1,0,22,REFUND_NOT_RECEIVED,1,0,1,1,1,0,1,0,0,0,5,63.3,18.0,19.6,55.6,1
CASE200171,89.64,166,0,1,6,TRANSACTION_NOT_RECOGNIZED,0,1,1,0,1,0,1,1,1,1,7,67.9,79.2,63.3,60.1,1
CASE200172,31.29,379,3,2,4,PRODUCT_NOT_AS_DESCRIBED,1,0,1,0,1,0,1,0,0,1,5,54.1,19.2,77.9,50.5,1
CASE200173,51.12,1412,1,0,24,FRAUDULENT_TRANSACTION,1,0,1,1,1,1,1,1,0,0,7,67.8,76.4,46.9,66.9,0
CASE200174,53.03,1167,2,5,26,PRODUCT_NOT_RECEIVED,1,1,0,1,0,1,0,0,1,1,6,59.7,43.2,34.5,65.0,0
CASE200175,24.89,1045,0,0,25,FRAUDULENT_TRANSACTION,1,1,1,1,1,1,1,0,0,1,8,71.9,51.1,169.9,61.5,0
CASE200176,84.4,1173,1,1,24,PRODUCT_NOT_RECEIVED,1,1,0,1,1,1,1,1,0,1,8,79.8,86.6,29.4,66.5,1
CASE200177,26.59,1704,1,2,29,PRODUCT_NOT_AS_DESCRIBED,0,1,0,1,0,1,1,1,1,0,6,54.1,100.0,47.9,61.6,1
