customer_id,account_age_days,total_orders,successful_orders,cancelled_orders,previous_returns,previous_refunds,previous_chargebacks,customer_chargeback_rate,customer_return_rate,average_order_value,transaction_id,transaction_amount,payment_method,transaction_hour,is_international,orders_last_24h,amount_vs_customer_avg,device_age_days,multiple_accounts_same_device,ip_country_match,billing_shipping_match,login_after_purchase,product_shipped,delivery_confirmed,otp_verified,tracking_available,chargeback_occurred
CUST116659,1059,6,5,1,2,1,0,0.0,0.3333,70.8,TXN1000040,60.34,debit_card,23,0,0,0.852,651,0,0,1,0,1,1,0,1,0
CUST116012,530,5,4,1,0,0,1,0.2,0.0,33.89,TXN1000041,44.42,credit_card,21,0,3,1.311,324,0,1,1,0,1,1,0,1,1
CUST127539,1730,24,24,0,1,0,0,0.0,0.0417,63.05,TXN1000042,71.21,credit_card,7,0,2,1.129,596,0,1,1,0,1,1,1,0,0
CUST113784,1086,11,10,1,0,0,0,0.0,0.0,41.58,TXN1000043,38.57,wallet,10,0,1,0.928,1127,0,1,0,0,1,1,1,0,0
CUST110647,869,14,13,1,1,1,1,0.0714,0.0714,67.28,TXN1000044,78.13,paypal,9,0,0,1.161,349,0,1,1,0,1,1,0,0,1
CUST117150,301,5,5,0,1,1,0,0.0,0.2,43.65,TXN1000045,78.28,credit_card,17,0,0,1.793,685,0,1,1,0,1,1,1,1,0
CUST111202,683,6,6,0,1,0,0,0.0,0.1667,20.66,TXN1000046,24.48,wallet,4,0,1,1.185,219,0,1,1,0,0,0,1,0,1
CUST103810,815,8,8,0,0,0,0,0.0,0.0,33.34,TXN1000047,28.31,debit_card,8,0,0,0.849,672,0,1,1,0,1,1,0,1,0
CUST118738,1104,10,10,0,1,1,1,0.1,0.1,29.32,TXN1000048,24.74,debit_card,16,0,0,0.844,561,0,1,1,0,1,1,1,1,0
CUST125113,110,6,6,0,0,0,1,0.1667,0.0,28.09,TXN1000049,33.52,credit_card,21,0,0,1.193,688,0,0,0,0,1,1,1,1,1
CUST115073,979,12,11,1,2,2,0,0.0,0.1667,19.74,TXN1000050,13.35,paypal,8,0,0,0.676,377,0,1,1,0,1,0,1,1,0
CUST119814,1045,17,17,0,3,1,4,0.2353,0.1765,41.21,TXN1000051,64.7,credit_card,5,0,2,1.57,124,0,1,1,1,1,1,1,1,1
CUST109236,942,12,12,0,1,0,0,0.0,0.0833,50.18,TXN1000052,67.61,paypal,1,0,0,1.347,78,0,1,1,0,1,1,1,1,1
CUST130655,582,6,6,0,0,0,0,0.0,0.0,58.77,TXN1000053,42.4,credit_card,4,0,0,0.721,588,0,1,0,0,1,1,1,1,0
CUST122222,988,16,16,0,1,0,1,0.0625,0.0625,39.76,TXN1000054,52.09,bank_transfer,20,0,0,1.31,111,0,1,1,0,1,1,0,1,0
CUST108518,837,8,8,0,0,0,0,0.0,0.0,112.36,TXN1000055,81.81,bank_transfer,12,0,1,0.728,76,0,1,1,0,1,1,0,1,0
CUST130348,1377,21,21,0,2,1,1,0.0476,0.0952,33.53,TXN1000056,19.2,credit_card,10,0,0,0.573,2074,0,1,1,0,1,1,1,0,0
CUST118316,418,4,4,0,2,2,0,0.0,0.5,128.41,TXN1000057,68.25,paypal,14,0,0,0.532,65,0,1,1,0,1,0,1,1,0
CUST100045,332,4,4,0,0,0,0,0.0,0.0,38.3,TXN1000058,24.51,credit_card,8,0,1,0.64,116,0,1,1,1,0,0,1,0,1
CUST109677,1077,15,15,0,3,2,1,0.0667,0.2,31.82,TXN1000059,28.18,debit_card,9,0,0,0.886,303,0,1,1,0,1,1,1,1,1
CUST110798,722,8,8,0,1,1,0,0.0,0.125,82.29,TXN1000060,121.96,debit_card,17,0,0,1.482,642,0,1,1,0,1,1,1,1,0
CUST131438,628,5,5,0,1,0,0,0.0,0.2,71.7,TXN1000061,57.33,paypal,21,0,0,0.8,521,0,1,1,0,1,1,1,1,1
CUST103019,2044,18,16,2,2,0,0,0.0,0.1111,52.3,TXN1000062,57.31,credit_card,19,0,1,1.096,312,0,1,1,0,1,1,1,1,1
CUST107396,262,4,4,0,0,0,0,0.0,0.0,57.38,TXN1000063,47.18,debit_card,13,0,0,0.822,138,0,1,1,0,1,1,1,1,1
CUST103024,352,7,7,0,1,0,1,0.1429,0.1429,29.13,TXN1000064,55.33,credit_card,22,0,0,1.899,369,0,1,1,0,1,1,1,1,1
CUST100062,1202,15,15,0,2,2,0,0.0,0.1333,42.45,TXN1000065,30.06,bank_transfer,14,0,0,0.708,500,0,1,1,0,1,1,0,1,0
CUST112872,603,8,7,1,0,0,1,0.125,0.0,40.83,TXN1000066,20.71,debit_card,16,0,1,0.507,321,0,1,1,0,1,1,1,1,0
CUST110835,801,16,16,0,2,0,2,0.125,0.125,39.36,TXN1000067,52.91,wallet,5,0,0,1.344,89,0,1,1,0,1,1,0,1,0
CUST125503,730,8,7,1,0,0,0,0.0,0.0,31.83,TXN1000068,24.47,paypal,4,0,1,0.769,588,0,1,1,1,1,1,1,1,1
CUST121791,881,12,12,0,0,0,0,0.0,0.0,25.24,TXN1000069,45.08,credit_card,16,0,0,1.786,679,0,1,1,0,1,1,1,0,0
CUST110504,263,4,4,0,1,1,0,0.0,0.25,24.95,TXN1000070,37.08,debit_card,14,0,0,1.486,59,0,1,1,1,1,0,0,1,1
CUST103488,768,6,6,0,0,0,1,0.1667,0.0,33.59,TXN1000071,31.9,paypal,13,0,0,0.95,157,0,1,1,0,1,0,0,1,1
CUST131505,559,6,6,0,1,0,0,0.0,0.1667,110.28,TXN1000072,113.55,bank_transfer,20,0,0,1.03,464,0,1,1,0,1,1,1,1,1
CUST125693,1855,27,27,0,0,0,1,0.037,0.0,30.34,TXN1000073,23.92,credit_card,9,0,0,0.788,179,0,1,1,0,1,1,1,1,0
CUST116196,709,12,11,1,0,0,1,0.0833,0.0,102.11,TXN1000074,183.66,paypal,11,0,0,1.799,1104,0,1,0,0,1,1,0,1,0
CUST117091,725,10,8,2,0,0,0,0.0,0.0,92.2,TXN1000075,125.32,credit_card,4,0,1,1.359,521,0,1,1,0,1,1,1,1,1
CUST124089,1946,30,30,0,3,3,0,0.0,0.1,105.38,TXN1000076,210.47,credit_card,16,0,0,1.997,213,0,1,1,0,1,1,1,1,0
CUST121757,804,8,8,0,0,0,0,0.0,0.0,61.21,TXN1000077,46.7,debit_card,13,0,0,0.763,365,0,1,1,0,1,1,1,1,0
CUST111088,1350,14,14,0,0,0,0,0.0,0.0,67.12,TXN1000078,108.52,credit_card,23,0,0,1.617,683,0,1,1,0,1,0,1,1,0
CUST128613,700,11,10,1,0,0,1,0.0909,0.0,126.49,TXN1000079,115.55,credit_card,4,0,0,0.914,32,0,1,1,0,1,1,1,1,1
CUST107254,1435,22,22,0,0,0,2,0.0909,0.0,69.61,TXN1000080,79.27,bank_transfer,19,0,0,1.139,1076,0,1,1,0,1,1,1,1,0
CUST120407,2072,23,22,1,2,2,2,0.087,0.087,105.72,TXN1000081,127.03,credit_card,14,0,0,1.202,195,0,1,1,0,1,0,1,1,1
CUST110637,2701,38,38,0,2,2,4,0.1053,0.0526,73.69,TXN1000082,63.61,debit_card,19,0,2,0.863,509,1,1,1,0,1,0,1,0,1
CUST100520,326,7,6,1,2,1,0,0.0,0.2857,66.08,TXN1000083,67.27,credit_card,8,0,0,1.018,372,0,1,1,0,1,1,0,0,0
CUST129851,1162,14,13,1,1,1,0,0.0,0.0714,71.26,TXN1000084,79.22,debit_card,20,0,1,1.112,963,0,1,1,0,1,0,1,1,0
CUST117405,366,6,6,0,1,0,0,0.0,0.1667,91.11,TXN1000085,125.85,credit_card,14,0,0,1.381,12,0,1,1,0,0,0,1,0,0
CUST111274,782,17,16,1,1,0,2,0.1176,0.0588,105.16,TXN1000086,164.3,debit_card,15,0,0,1.562,279,0,1,1,0,1,1,1,1,0
CUST101023,515,9,9,0,1,1,0,0.0,0.1111,31.51,TXN1000087,15.23,credit_card,12,0,0,0.483,202,0,1,1,0,1,1,1,1,0
CUST103312,371,5,5,0,0,0,0,0.0,0.0,28.86,TXN1000088,19.08,debit_card,18,0,0,0.661,19,0,1,1,0,1,1,1,1,0
CUST104688,1674,19,19,0,0,0,1,0.0526,0.0,60.73,TXN1000089,21.48,paypal,20,0,1,0.354,538,0,0,0,0,1,1,1,1,0
CUST112357,709,12,12,0,1,0,2,0.1667,0.0833,56.65,TXN1000090,41.71,paypal,18,1,0,0.736,713,1,1,1,0,0,0,0,0,1
CUST121900,1548,27,27,0,1,0,0,0.0,0.037,67.68,TXN1000091,69.89,credit_card,13,0,0,1.033,436,0,1,0,0,1,1,1,1,1
CUST114729,1005,17,15,2,1,1,1,0.0588,0.0588,60.21,TXN1000092,66.3,credit_card,14,0,0,1.101,142,0,1,0,0,1,0,1,0,1
CUST105208,1109,13,12,1,0,0,1,0.0769,0.0,24.99,TXN1000093,16.5,debit_card,8,0,0,0.66,320,0,1,1,0,1,1,1,1,1
CUST102353,2737,39,35,4,2,1,1,0.0256,0.0513,44.08,TXN1000094,58.75,paypal,11,0,0,1.333,836,0,1,1,0,1,0,0,1,1
CUST111793,792,12,11,1,2,1,0,0.0,0.1667,125.84,TXN1000095,440.0,credit_card,0,0,0,3.497,161,0,1,1,0,1,1,1,1,1
CUST112188,435,7,7,0,3,1,0,0.0,0.4286,91.31,TXN1000096,88.12,debit_card,14,1,1,0.965,72,0,1,1,1,1,0,0,1,1
CUST120001,924,11,11,0,1,0,0,0.0,0.0909,24.04,TXN1000097,21.47,paypal,4,0,1,0.893,514,1,1,1,0,1,1,1,1,0
CUST112674,356,6,6,0,1,1,1,0.1667,0.1667,31.4,TXN1000098,30.25,debit_card,17,0,0,0.963,162,1,1,0,0,1,0,0,1,1
CUST113716,269,5,5,0,1,0,0,0.0,0.2,27.07,TXN1000099,22.25,wallet,19,0,0,0.822,234,0,1,1,0,1,1,1,1,0
CUST130475,320,6,6,0,0,0,0,0.0,0.0,16.67,TXN1000100,30.4,debit_card,21,0,0,1.824,605,0,1,1,0,1,1,1,1,0
CUST101434,849,14,14,0,1,1,2,0.1429,0.0714,38.23,TXN1000101,47.54,debit_card,12,0,0,1.244,1350,0,1,1,1,1,1,1,1,1
CUST121153,302,7,7,0,1,1,0,0.0,0.1429,289.34,TXN1000102,331.13,bank_transfer,12,0,0,1.144,533,1,0,1,0,1,1,1,1,1
CUST113684,1199,15,15,0,0,0,0,0.0,0.0,58.66,TXN1000103,45.31,debit_card,21,0,0,0.772,429,0,1,0,0,1,1,1,1,0
CUST109763,977,14,14,0,0,0,0,0.0,0.0,44.96,TXN1000104,48.83,debit_card,11,0,2,1.086,486,0,1,1,0,1,1,0,1,0
CUST127118,646,10,10,0,1,0,1,0.1,0.1,33.58,TXN1000105,68.46,credit_card,16,0,2,2.039,43,0,1,1,0,1,1,0,1,1
CUST116806,2197,29,28,1,4,2,2,0.069,0.1379,45.21,TXN1000106,53.65,credit_card,21,1,2,1.187,296,0,1,1,0,1,1,1,1,1
CUST123601,669,10,10,0,0,0,0,0.0,0.0,55.98,TXN1000107,58.36,paypal,20,0,0,1.043,361,0,1,1,0,1,1,0,1,0
CUST114933,1004,11,11,0,0,0,0,0.0,0.0,52.03,TXN1000108,115.8,debit_card,16,0,1,2.226,165,0,1,1,0,1,1,1,1,0
CUST127055,1002,10,9,1,0,0,0,0.0,0.0,138.91,TXN1000109,177.5,paypal,21,0,1,1.278,682,0,0,1,0,1,1,0,0,1
CUST101110,451,11,10,1,0,0,1,0.0909,0.0,61.61,TXN1000110,47.53,bank_transfer,20,0,0,0.771,1277,0,1,1,0,1,1,1,1,1
CUST112951,353,5,5,0,0,0,0,0.0,0.0,63.11,TXN1000111,108.39,bank_transfer,22,0,1,1.717,297,1,1,1,0,1,0,1,1,0
CUST110848,574,14,13,1,2,1,0,0.0,0.1429,52.91,TXN1000112,81.32,credit_card,21,0,0,1.537,639,0,1,1,1,1,1,1,1,0
CUST104953,1324,15,14,1,1,1,1,0.0667,0.0667,41.83,TXN1000113,30.64,paypal,20,0,0,0.732,853,0,0,0,0,0,0,0,0,1
CUST125316,1250,14,13,1,4,3,1,0.0714,0.2857,62.12,TXN1000114,51.78,bank_transfer,10,0,1,0.834,580,1,1,0,1,1,1,1,0,1
CUST122718,400,10,10,0,1,0,2,0.2,0.1,163.55,TXN1000115,162.5,wallet,22,0,0,0.994,50,0,1,1,0,0,0,1,0,1
CUST117234,1335,14,13,1,2,1,3,0.2143,0.1429,102.63,TXN1000116,116.26,bank_transfer,17,0,0,1.133,531,0,1,1,0,0,0,1,0,0
CUST130172,1747,24,23,1,2,1,1,0.0417,0.0833,43.66,TXN1000117,62.69,debit_card,0,0,0,1.436,71,0,0,1,0,1,1,0,1,1
CUST123975,2693,37,36,1,2,1,0,0.0,0.0541,111.22,TXN1000118,183.68,credit_card,8,1,2,1.652,346,0,1,1,0,1,1,1,0,1
CUST117499,679,11,11,0,2,1,1,0.0909,0.1818,30.8,TXN1000119,34.41,credit_card,14,0,1,1.117,504,1,1,1,0,1,0,1,1,0
CUST113525,1352,17,17,0,1,0,1,0.0588,0.0588,69.98,TXN1000120,108.52,credit_card,11,0,0,1.551,363,1,1,1,0,1,1,1,1,0
CUST114550,559,5,4,1,2,0,1,0.2,0.4,126.87,TXN1000121,241.19,paypal,3,0,4,1.901,182,1,1,0,0,1,0,0,0,1
CUST115756,1395,19,19,0,0,0,1,0.0526,0.0,73.96,TXN1000122,84.89,debit_card,14,0,0,1.148,157,0,1,1,0,1,1,1,1,0
CUST111135,289,4,4,0,0,0,0,0.0,0.0,37.62,TXN1000123,26.78,paypal,11,0,0,0.712,989,0,1,0,0,1,1,1,1,0
CUST107591,210,4,4,0,0,0,0,0.0,0.0,44.89,TXN1000124,27.3,credit_card,0,0,0,0.608,216,0,1,1,0,1,1,1,0,0
CUST105951,934,12,12,0,2,2,0,0.0,0.1667,107.0,TXN1000125,62.2,debit_card,10,0,0,0.581,486,0,1,1,0,1,0,1,1,0
CUST113011,567,10,9,1,0,0,1,0.1,0.0,54.46,TXN1000126,74.39,debit_card,22,0,0,1.366,293,0,1,0,0,1,1,0,1,1
CUST117058,576,4,4,0,0,0,0,0.0,0.0,71.65,TXN1000127,53.72,credit_card,9,0,2,0.75,993,0,1,0,0,1,1,1,0,1
CUST110739,874,12,12,0,1,0,1,0.0833,0.0833,66.04,TXN1000128,34.72,debit_card,15,0,0,0.526,206,0,1,0,0,1,0,0,0,0
CUST116587,877,11,11,0,2,0,1,0.0909,0.1818,94.91,TXN1000129,118.78,wallet,18,0,0,1.252,137,0,0,1,0,1,1,1,1,1
CUST105589,1177,11,11,0,1,0,0,0.0,0.0909,82.23,TXN1000130,168.3,debit_card,21,0,0,2.047,591,0,1,1,0,1,1,1,1,1
CUST118848,1258,20,20,0,1,1,0,0.0,0.05,97.07,TXN1000131,131.31,paypal,4,0,0,1.353,505,0,1,1,0,1,1,0,1,1
CUST102089,1157,11,11,0,0,0,1,0.0909,0.0,58.99,TXN1000132,111.78,debit_card,11,0,0,1.895,230,0,1,1,0,1,1,1,1,0
CUST102032,544,13,12,1,1,0,2,0.1538,0.0769,66.02,TXN1000133,45.14,credit_card,13,0,0,0.684,433,0,1,1,0,1,1,0,0,1
CUST100373,742,3,3,0,1,1,0,0.0,0.3333,93.56,TXN1000134,114.76,debit_card,20,0,0,1.227,414,0,1,1,0,1,1,1,1,1
CUST102055,1405,24,23,1,2,1,0,0.0,0.0833,115.1,TXN1000135,114.26,credit_card,22,0,0,0.993,734,0,1,1,0,1,1,1,1,0
CUST113417,988,8,8,0,0,0,0,0.0,0.0,58.41,TXN1000136,49.9,wallet,8,1,1,0.854,396,0,1,1,0,1,1,1,1,0
CUST130902,630,13,10,3,0,0,1,0.0769,0.0,74.94,TXN1000137,43.13,paypal,10,0,0,0.576,292,0,1,1,0,0,0,0,0,1
CUST105193,989,14,13,1,2,2,0,0.0,0.1429,44.12,TXN1000138,26.61,wallet,22,0,0,0.603,556,0,1,1,0,1,1,0,1,1
CUST103220,512,7,7,0,1,0,0,0.0,0.1429,39.89,TXN1000139,20.5,wallet,11,1,0,0.514,776,0,1,1,0,1,1,1,1,0
CUST106240,1498,16,15,1,1,1,0,0.0,0.0625,37.39,TXN1000140,73.49,paypal,8,0,0,1.965,621,0,1,1,0,1,1,1,1,0
CUST112742,721,10,10,0,3,1,2,0.2,0.3,70.18,TXN1000141,112.08,paypal,4,0,1,1.597,334,0,1,1,0,1,1,0,1,1
CUST116441,807,15,14,1,2,2,1,0.0667,0.1333,35.01,TXN1000142,34.31,debit_card,14,0,0,0.98,1024,1,1,1,1,1,1,1,1,0
CUST120378,1073,14,14,0,1,1,0,0.0,0.0714,146.45,TXN1000143,107.75,debit_card,23,0,0,0.736,677,0,1,0,0,1,1,1,1,0
CUST119796,422,10,9,1,1,0,1,0.1,0.1,38.64,TXN1000144,24.73,credit_card,1,0,0,0.64,484,0,1,1,0,1,1,1,1,1
CUST122465,1390,21,17,4,1,1,1,0.0476,0.0476,50.38,TXN1000145,62.52,wallet,6,0,0,1.241,171,0,1,1,0,1,0,0,1,0
CUST102270,825,16,16,0,2,1,0,0.0,0.125,30.13,TXN1000146,23.33,credit_card,16,0,0,0.774,240,0,1,1,0,1,1,1,1,0
CUST131604,1965,24,24,0,3,1,1,0.0417,0.125,38.42,TXN1000147,33.72,wallet,14,0,3,0.878,723,1,1,1,0,1,1,1,0,0
CUST130363,1422,24,22,2,2,1,0,0.0,0.0833,62.61,TXN1000148,47.48,credit_card,14,0,1,0.758,1009,0,0,1,0,1,1,1,0,0
CUST109293,603,6,5,1,1,1,1,0.1667,0.1667,60.43,TXN1000149,82.61,credit_card,13,0,1,1.367,817,0,1,1,0,1,1,0,1,0
CUST107251,450,7,5,2,0,0,0,0.0,0.0,47.3,TXN1000150,53.14,credit_card,5,1,1,1.123,189,0,0,0,0,1,1,1,0,0
CUST101023,515,9,9,0,1,1,0,0.0,0.1111,31.51,TXN1000151,32.07,paypal,10,0,0,1.018,195,0,1,1,0,1,1,1,1,0
CUST114298,2192,21,19,2,2,2,0,0.0,0.0952,32.77,TXN1000152,13.05,debit_card,15,0,1,0.398,888,0,1,1,0,1,1,1,1,0
CUST101619,1798,27,26,1,0,0,2,0.0741,0.0,33.33,TXN1000153,49.15,paypal,5,0,1,1.475,709,1,1,1,1,1,0,1,1,1
CUST126853,2892,36,36,0,3,1,3,0.0833,0.0833,49.39,TXN1000154,28.11,paypal,15,0,1,0.569,222,0,1,1,0,1,1,1,1,1
CUST119084,310,9,9,0,0,0,0,0.0,0.0,15.39,TXN1000155,29.85,debit_card,16,1,0,1.94,1239,0,0,0,0,1,0,1,0,1
CUST111306,1353,22,22,0,2,1,2,0.0909,0.0909,56.19,TXN1000156,37.0,wallet,14,0,1,0.658,886,0,1,1,0,1,1,1,0,1
CUST127391,842,13,13,0,2,1,0,0.0,0.1538,52.79,TXN1000157,198.17,credit_card,4,0,0,3.754,218,0,1,1,0,0,0,1,0,1
CUST127066,3126,42,40,2,6,3,0,0.0,0.1429,59.5,TXN1000158,77.7,debit_card,18,0,0,1.306,310,0,1,1,0,1,1,1,1,1
CUST116974,241,3,3,0,0,0,0,0.0,0.0,42.34,TXN1000159,82.42,paypal,10,0,2,1.947,548,0,1,1,0,1,1,1,1,1
CUST111883,483,6,6,0,0,0,1,0.1667,0.0,56.12,TXN1000160,108.55,debit_card,14,1,1,1.934,19,1,0,0,0,1,1,1,1,1
CUST112305,283,3,3,0,0,0,0,0.0,0.0,37.44,TXN1000161,45.19,credit_card,11,0,0,1.207,401,0,1,1,0,1,1,1,1,0
CUST128972,1030,20,19,1,1,1,1,0.05,0.05,91.86,TXN1000162,126.26,credit_card,16,0,0,1.374,371,0,1,1,0,1,1,0,1,0
CUST129562,1409,18,18,0,1,1,0,0.0,0.0556,52.85,TXN1000163,63.58,credit_card,15,0,0,1.203,454,0,1,1,0,1,1,1,1,0
CUST100059,294,3,3,0,0,0,1,0.3333,0.0,69.36,TXN1000164,113.21,credit_card,13,0,0,1.632,355,0,1,0,0,1,1,1,0,1
CUST102950,295,4,4,0,0,0,0,0.0,0.0,48.4,TXN1000165,32.25,bank_transfer,11,0,1,0.666,454,0,0,1,0,1,0,0,1,0
CUST115429,646,11,11,0,3,1,0,0.0,0.2727,27.27,TXN1000166,11.35,credit_card,4,0,0,0.416,1192,0,1,1,0,1,1,0,1,0
CUST123812,1337,18,18,0,0,0,2,0.1111,0.0,97.96,TXN1000167,105.79,debit_card,13,0,0,1.08,447,0,1,1,0,1,1,1,1,1
CUST118579,1160,17,16,1,1,0,0,0.0,0.0588,19.28,TXN1000168,10.06,wallet,12,0,0,0.522,608,0,1,0,0,1,1,1,0,0
CUST120873,1115,19,18,1,4,1,0,0.0,0.2105,35.05,TXN1000169,44.29,debit_card,7,0,0,1.264,442,1,0,1,0,1,1,0,1,0
CUST113569,423,5,4,1,0,0,1,0.2,0.0,31.83,TXN1000170,54.23,credit_card,11,0,1,1.704,68,0,0,1,0,1,1,1,1,1
